date,open,max,min,close
28.03.2010,1231.65000,1242.06000,1219.10000,1222.22000
29.03.2010,1224.20000,1228.72000,1206.74000,1224.83000
30.03.2010,1223.07000,1227.48000,1186.81000,1193.46000
31.03.2010,1191.32000,1197.85000,1175.01000,1182.16000
01.04.2010,1182.82000,1187.34000,1166.34000,1176.81000
02.04.2010,1177.77000,1196.55000,1177.30000,1191.38000
03.04.2010,1192.03000,1204.04000,1185.24000,1204.02000
04.04.2010,1202.45000,1216.34000,1200.68000,1211.39000
05.04.2010,1211.83000,1218.26000,1205.77000,1212.27000
06.04.2010,1210.90000,1215.19000,1202.00000,1214.05000
07.04.2010,1213.20000,1217.73000,1209.81000,1216.00000
08.04.2010,1215.60000,1228.62000,1214.28000,1225.47000
09.04.2010,1225.20000,1226.91000,1213.77000,1223.24000
10.04.2010,1223.32000,1224.54000,1201.14000,1206.36000
11.04.2010,1206.71000,1219.85000,1196.80000,1219.58000
12.04.2010,1219.88000,1244.47000,1210.52000,1240.05000
13.04.2010,1240.25000,1251.69000,1233.31000,1236.39000
14.04.2010,1234.65000,1240.73000,1221.80000,1233.00000
15.04.2010,1232.50000,1233.98000,1215.24000,1216.28000
16.04.2010,1215.95000,1230.44000,1215.90000,1226.25000
17.04.2010,1227.50000,1233.95000,1216.54000,1221.00000
18.04.2010,1221.96000,1236.70000,1219.66000,1233.93000
19.04.2010,1234.26000,1237.59000,1226.82000,1228.85000
20.04.2010,1230.27000,1250.88000,1229.48000,1244.81000
21.04.2010,1245.57000,1262.08000,1241.68000,1256.58000
22.04.2010,1258.10000,1265.02000,1230.55000,1233.45000
23.04.2010,1231.99000,1242.59000,1231.94000,1239.68000
24.04.2010,1238.62000,1246.14000,1224.56000,1236.99000
25.04.2010,1236.72000,1248.07000,1227.93000,1243.10000
26.04.2010,1243.67000,1258.18000,1240.67000,1255.45000
27.04.2010,1253.95000,1262.50000,1235.45000,1238.65000
28.04.2010,1238.23000,1244.90000,1227.18000,1240.30000
29.04.2010,1240.30000,1247.25000,1234.64000,1242.13000
30.04.2010,1242.12000,1243.73000,1196.35000,1198.40000
01.05.2010,1199.48000,1213.17000,1199.15000,1211.33000
02.05.2010,1211.80000,1214.28000,1205.70000,1208.60000
03.05.2010,1208.54000,1213.42000,1189.28000,1192.30000
04.05.2010,1193.04000,1203.78000,1184.78000,1202.48000
05.05.2010,1202.11000,1207.65000,1187.38000,1197.91000
06.05.2010,1198.07000,1213.53000,1194.30000,1211.54000
07.05.2010,1211.73000,1212.78000,1196.26000,1196.55000
08.05.2010,1197.17000,1217.75000,1196.25000,1212.03000
09.05.2010,1211.50000,1217.73000,1202.45000,1208.16000
10.05.2010,1208.34000,1217.07000,1203.82000,1208.03000
11.05.2010,1208.96000,1210.62000,1186.00000,1192.68000
12.05.2010,1193.10000,1194.78000,1177.60000,1182.64000
13.05.2010,1184.11000,1193.63000,1175.66000,1191.85000
14.05.2010,1191.43000,1197.80000,1183.29000,1184.78000
15.05.2010,1184.65000,1200.46000,1180.97000,1194.64000
16.05.2010,1194.85000,1203.75000,1183.82000,1188.82000
17.05.2010,1188.65000,1194.53000,1179.60000,1183.30000
18.05.2010,1182.65000,1186.98000,1157.88000,1161.30000
19.05.2010,1162.30000,1165.88000,1157.00000,1163.00000
20.05.2010,1162.63000,1169.20000,1159.37000,1167.80000
21.05.2010,1165.80000,1183.28000,1165.56000,1180.55000
22.05.2010,1181.48000,1189.64000,1174.53000,1182.48000
23.05.2010,1181.98000,1190.43000,1179.18000,1185.88000
24.05.2010,1185.37000,1202.75000,1184.45000,1194.52000
25.05.2010,1194.91000,1199.60000,1189.83000,1194.67000
26.05.2010,1194.71000,1210.74000,1192.29000,1204.98000
27.05.2010,1204.85000,1209.65000,1198.98000,1201.02000
28.05.2010,1201.36000,1207.23000,1190.58000,1203.98000
29.05.2010,1204.26000,1207.75000,1192.26000,1197.85000
30.05.2010,1197.97000,1215.23000,1197.40000,1213.63000
31.05.2010,1213.72000,1217.38000,1210.70000,1215.20000
01.06.2010,1214.40000,1227.23000,1214.02000,1224.93000
02.06.2010,1224.72000,1228.79000,1222.38000,1224.53000
03.06.2010,1224.35000,1232.30000,1217.69000,1229.13000
04.06.2010,1229.15000,1237.25000,1227.70000,1231.71000
05.06.2010,1231.85000,1233.20000,1221.98000,1227.58000
06.06.2010,1226.20000,1231.79000,1221.73000,1225.83000
07.06.2010,1224.95000,1235.29000,1210.71000,1230.28000
08.06.2010,1230.20000,1241.28000,1228.98000,1239.80000
09.06.2010,1239.68000,1243.94000,1233.98000,1237.28000
10.06.2010,1236.55000,1242.10000,1231.98000,1237.80000
11.06.2010,1237.63000,1238.23000,1233.30000,1236.69000
12.06.2010,1236.28000,1249.70000,1231.79000,1247.20000
13.06.2010,1248.24000,1254.48000,1242.41000,1243.90000
14.06.2010,1243.93000,1252.95000,1243.25000,1250.71000
15.06.2010,1250.60000,1253.60000,1237.70000,1246.34000
16.06.2010,1247.85000,1250.90000,1246.75000,1249.70000
17.06.2010,1249.84000,1259.43000,1244.58000,1255.43000
18.06.2010,1255.28000,1262.05000,1253.49000,1254.80000
19.06.2010,1254.73000,1258.68000,1242.28000,1243.40000
20.06.2010,1244.05000,1250.35000,1236.50000,1245.75000
21.06.2010,1246.13000,1248.83000,1241.01000,1245.35000
22.06.2010,1244.50000,1274.58000,1244.50000,1267.94000
23.06.2010,1268.53000,1271.75000,1263.13000,1267.75000
24.06.2010,1267.61000,1277.57000,1264.65000,1274.93000
25.06.2010,1274.85000,1282.58000,1271.79000,1273.93000
26.06.2010,1278.38000,1283.48000,1274.18000,1277.93000
27.06.2010,1278.40000,1290.63000,1270.93000,1286.97000
28.06.2010,1286.95000,1295.88000,1286.37000,1291.09000
29.06.2010,1290.90000,1295.78000,1286.76000,1292.13000
30.06.2010,1292.33000,1299.66000,1291.45000,1296.18000
01.07.2010,1297.58000,1299.77000,1293.92000,1294.12000
02.07.2010,1294.73000,1309.84000,1282.75000,1308.70000
03.07.2010,1309.00000,1313.15000,1305.55000,1309.48000
04.07.2010,1309.05000,1315.59000,1295.98000,1307.94000
05.07.2010,1307.46000,1320.44000,1305.99000,1318.72000
06.07.2010,1317.99000,1319.91000,1312.27000,1314.95000
07.07.2010,1314.85000,1341.40000,1312.24000,1340.36000
08.07.2010,1339.88000,1349.60000,1338.73000,1348.63000
09.07.2010,1349.03000,1364.55000,1325.68000,1333.28000
10.07.2010,1333.19000,1349.49000,1324.97000,1347.21000
11.07.2010,1348.29000,1355.12000,1340.13000,1353.77000
12.07.2010,1352.80000,1355.07000,1340.53000,1350.15000
13.07.2010,1350.20000,1373.94000,1349.02000,1371.87000
14.07.2010,1371.15000,1387.03000,1370.69000,1380.83000
15.07.2010,1380.55000,1385.11000,1362.41000,1368.17000
16.07.2010,1370.40000,1374.76000,1352.73000,1368.20000
17.07.2010,1369.38000,1370.82000,1328.27000,1331.68000
18.07.2010,1333.95000,1346.92000,1330.40000,1345.93000
19.07.2010,1345.34000,1349.02000,1317.80000,1325.39000
20.07.2010,1325.51000,1328.33000,1315.14000,1328.18000
21.07.2010,1331.57000,1349.02000,1331.25000,1339.64000
22.07.2010,1339.20000,1343.44000,1327.97000,1340.21000
23.07.2010,1340.00000,1343.40000,1319.10000,1325.02000
24.07.2010,1325.10000,1345.40000,1322.84000,1343.73000
25.07.2010,1344.10000,1359.14000,1335.15000,1358.95000
26.07.2010,1363.88000,1365.30000,1348.94000,1351.87000
27.07.2010,1352.85000,1359.62000,1350.25000,1356.37000
28.07.2010,1356.43000,1364.15000,1325.39000,1348.34000
29.07.2010,1348.03000,1393.22000,1346.72000,1393.22000
30.07.2010,1391.20000,1397.81000,1373.82000,1393.23000
31.07.2010,1395.61000,1410.27000,1386.85000,1409.13000
01.08.2010,1409.61000,1424.18000,1382.93000,1392.78000
02.08.2010,1393.33000,1409.93000,1383.99000,1403.53000
03.08.2010,1403.36000,1417.49000,1397.14000,1408.23000
04.08.2010,1408.64000,1410.07000,1359.94000,1368.25000
05.08.2010,1370.36000,1376.50000,1355.80000,1360.35000
06.08.2010,1358.90000,1364.44000,1329.61000,1339.41000
07.08.2010,1341.58000,1344.62000,1330.77000,1335.77000
08.08.2010,1335.62000,1358.96000,1335.55000,1352.96000
09.08.2010,1354.28000,1363.08000,1341.46000,1353.19000
10.08.2010,1357.49000,1367.65000,1348.22000,1366.50000
11.08.2010,1366.31000,1382.09000,1356.14000,1376.12000
12.08.2010,1376.00000,1381.11000,1369.14000,1372.95000
13.08.2010,1372.01000,1375.01000,1367.91000,1374.48000
14.08.2010,1374.19000,1374.90000,1350.76000,1363.17000
15.08.2010,1363.07000,1369.12000,1353.01000,1366.02000
16.08.2010,1366.87000,1389.74000,1362.73000,1385.96000
17.08.2010,1386.19000,1396.65000,1381.87000,1387.65000
18.08.2010,1386.90000,1398.20000,1382.93000,1384.99000
19.08.2010,1385.68000,1415.53000,1384.51000,1413.68000
20.08.2010,1414.10000,1427.02000,1408.82000,1423.50000
21.08.2010,1424.25000,1430.76000,1396.56000,1401.76000
22.08.2010,1400.31000,1404.24000,1371.31000,1381.72000
23.08.2010,1381.88000,1394.14000,1380.03000,1386.70000
24.08.2010,1387.28000,1392.07000,1372.17000,1385.60000
25.08.2010,1383.01000,1398.99000,1380.15000,1393.81000
