date,open,max,min,close,x,y
2010.05.04,1182.34000,1191.97000,1167.08000,1170.85000,3830,0
2010.05.05,1171.05000,1176.33000,1157.62000,1174.71000,3377,0
2010.05.06,1174.76000,1210.98000,1172.39000,1208.05000,4390,0
2010.05.07,1207.10000,1213.13000,1192.88000,1207.87000,3974,0
2010.05.10,1204.60000,1205.49000,1184.06000,1202.64000,4091,0
2010.05.11,1199.82000,1234.13000,1199.82000,1232.33000,3612,0
2010.05.12,1231.01000,1248.21000,1226.58000,1238.64000,3564,0
2010.05.13,1237.23000,1242.88000,1227.31000,1232.51000,2643,0
2010.05.14,1232.42000,1249.12000,1218.07000,1232.46000,6207,0
2010.05.17,1231.65000,1242.06000,1219.10000,1222.22000,3650,0
2010.05.18,1224.20000,1228.72000,1206.74000,1224.83000,4334,0
2010.05.19,1223.07000,1227.48000,1186.81000,1193.46000,5174,0
2010.05.20,1191.32000,1197.85000,1175.01000,1182.16000,3653,0
2010.05.21,1182.82000,1187.34000,1166.34000,1176.81000,3600,0
2010.05.24,1177.77000,1196.55000,1177.30000,1191.38000,2490,0
2010.05.25,1192.03000,1204.04000,1185.24000,1204.02000,2562,0
2010.05.26,1202.45000,1216.34000,1200.68000,1211.39000,2239,0
2010.05.27,1211.83000,1218.26000,1205.77000,1212.27000,2455,0
2010.05.28,1210.90000,1215.19000,1202.00000,1214.05000,2324,0
2010.05.31,1213.20000,1217.73000,1209.81000,1216.00000,1305,0
2010.06.01,1215.60000,1228.62000,1214.28000,1225.47000,1882,0
2010.06.02,1225.20000,1226.91000,1213.77000,1223.24000,2433,0
2010.06.03,1223.32000,1224.54000,1201.14000,1206.36000,2985,0
2010.06.04,1206.71000,1219.85000,1196.80000,1219.58000,3324,0
2010.06.07,1219.88000,1244.47000,1210.52000,1240.05000,4774,0
2010.06.08,1240.25000,1251.69000,1233.31000,1236.39000,3291,0
2010.06.09,1234.65000,1240.73000,1221.80000,1233.00000,3622,0
2010.06.10,1232.50000,1233.98000,1215.24000,1216.28000,2127,0
2010.06.11,1215.95000,1230.44000,1215.90000,1226.25000,1879,0
2010.06.14,1227.50000,1233.95000,1216.54000,1221.00000,2833,0
2010.06.15,1221.96000,1236.70000,1219.66000,1233.93000,2212,0
2010.06.16,1234.26000,1237.59000,1226.82000,1228.85000,1614,0
2010.06.17,1230.27000,1250.88000,1229.48000,1244.81000,2827,0
2010.06.18,1245.57000,1262.08000,1241.68000,1256.58000,2980,0
2010.06.21,1258.10000,1265.02000,1230.55000,1233.45000,4430,0
2010.06.22,1231.99000,1242.59000,1231.94000,1239.68000,1362,0
2010.06.23,1238.62000,1246.14000,1224.56000,1236.99000,4154,0
2010.06.24,1236.72000,1248.07000,1227.93000,1243.10000,3391,0
2010.06.25,1243.67000,1258.18000,1240.67000,1255.45000,2325,0
2010.06.28,1253.95000,1262.50000,1235.45000,1238.65000,3881,0
2010.06.29,1238.23000,1244.90000,1227.18000,1240.30000,3338,0
2010.06.30,1240.30000,1247.25000,1234.64000,1242.13000,2340,0
2010.07.01,1242.12000,1243.73000,1196.35000,1198.40000,5105,0
2010.07.02,1199.48000,1213.17000,1199.15000,1211.33000,1620,0
2010.07.05,1211.80000,1214.28000,1205.70000,1208.60000,1397,0
2010.07.06,1208.54000,1213.42000,1189.28000,1192.30000,3205,0
2010.07.07,1193.04000,1203.78000,1184.78000,1202.48000,2857,0
2010.07.08,1202.11000,1207.65000,1187.38000,1197.91000,3635,0
